Company Name,Industry,Symbol,Series,ISIN Code,Ticker
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,ABB.NS
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,ADANIENSOL.NS
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,ADANIENT.NS
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,ADANIGREEN.NS
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,ADANIPORTS.NS
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,ADANIPOWER.NS
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,AMBUJACEM.NS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,APOLLOHOSP.NS
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,ASIANPAINT.NS
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,DMART.NS
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,AXISBANK.NS
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,BAJAJ-AUTO.NS
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,BAJFINANCE.NS
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,BAJAJFINSV.NS
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,BAJAJHLDNG.NS
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,BANKBARODA.NS
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,BEL.NS
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,BPCL.NS
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,BHARTIARTL.NS
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,BOSCHLTD.NS
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,BRITANNIA.NS
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,CGPOWER.NS
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,CANBK.NS
